"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length";"Track Length";"Die Length";"Net Length";
331;"/sa_do_19";2;1;9.12 mils;3927.88 mils;0.00 mils;3937.01 mils;
332;"/sa_do_43";2;1;52.25 mils;3886.08 mils;0.00 mils;3938.33 mils;
333;"/sa_do_30";2;1;52.25 mils;3885.75 mils;0.00 mils;3938.00 mils;
334;"/wl_dac_config_3";2;1;9.12 mils;3927.90 mils;0.00 mils;3937.03 mils;
335;"/wl_dac_config_5";2;1;52.25 mils;3833.35 mils;0.00 mils;3885.60 mils;
336;"/di_25";2;3;165.86 mils;3708.25 mils;0.00 mils;3874.12 mils;
337;"/di_28";2;2;18.25 mils;3918.82 mils;0.00 mils;3937.07 mils;
338;"/di_29";2;2;61.37 mils;3875.44 mils;0.00 mils;3936.81 mils;
339;"/sa_do_42";2;1;52.25 mils;3885.72 mils;0.00 mils;3937.97 mils;
340;"/wl_dac_config_2";2;1;9.12 mils;3918.74 mils;0.00 mils;3927.86 mils;
341;"/sa_do_44";2;1;52.25 mils;3884.11 mils;0.00 mils;3936.36 mils;
342;"/di_18";2;1;9.12 mils;3918.71 mils;0.00 mils;3927.84 mils;
343;"/di_24";2;1;9.12 mils;3918.76 mils;0.00 mils;3927.88 mils;
344;"/rram_addr_10";2;1;9.12 mils;3918.79 mils;0.00 mils;3927.91 mils;
345;"/read_ref_2";2;1;9.12 mils;3918.80 mils;0.00 mils;3927.92 mils;
346;"/di_45";2;1;9.12 mils;3918.87 mils;0.00 mils;3927.99 mils;
347;"/di_16";2;1;52.25 mils;3832.05 mils;0.00 mils;3884.30 mils;
348;"/rram_addr_8";2;1;52.25 mils;3834.38 mils;0.00 mils;3886.62 mils;
349;"/read_dac_config_3";2;1;52.25 mils;3832.03 mils;0.00 mils;3884.28 mils;
350;"/wl_dac_config_6";2;1;9.12 mils;3918.76 mils;0.00 mils;3927.89 mils;
351;"/wl_dac_en";2;1;52.25 mils;3832.04 mils;0.00 mils;3884.28 mils;
